370 -1 -1 Fri 10 12 00 21 58 2018
366 0 0 Fri 10 12 00 22 58 2018
367 0 0 Fri 10 12 00 23 58 2018
344 0 0 Fri 10 12 00 24 58 2018
364 0 0 Fri 10 12 00 25 58 2018
371 0 0 Fri 10 12 00 26 58 2018
380 0 0 Fri 10 12 00 27 58 2018
342 0 0 Fri 10 12 00 28 58 2018
345 0 0 Fri 10 12 00 29 58 2018
356 0 0 Fri 10 12 00 30 58 2018
372 0 0 Fri 10 12 00 31 58 2018
351 0 0 Fri 10 12 00 32 58 2018
348 0 0 Fri 10 12 00 33 58 2018
353 0 0 Fri 10 12 00 34 58 2018
368 0 0 Fri 10 12 00 35 58 2018
365 0 0 Fri 10 12 00 36 58 2018
379 0 0 Fri 10 12 00 37 58 2018
358 0 0 Fri 10 12 00 38 58 2018
346 0 0 Fri 10 12 00 39 58 2018
401 0 0 Fri 10 12 00 40 58 2018
367 0 0 Fri 10 12 00 41 58 2018
359 0 0 Fri 10 12 00 42 58 2018
388 0 0 Fri 10 12 00 43 58 2018
393 0 0 Fri 10 12 00 44 58 2018
355 0 0 Fri 10 12 00 45 58 2018
377 0 0 Fri 10 12 00 46 58 2018
354 0 0 Fri 10 12 00 47 58 2018
353 0 0 Fri 10 12 00 48 58 2018
334 0 0 Fri 10 12 00 49 58 2018
362 0 0 Fri 10 12 00 50 58 2018
368 0 0 Fri 10 12 00 51 58 2018
379 0 0 Fri 10 12 00 52 58 2018
339 0 0 Fri 10 12 00 53 58 2018
353 0 0 Fri 10 12 00 54 58 2018
384 0 0 Fri 10 12 00 55 58 2018
372 0 0 Fri 10 12 00 56 58 2018
356 0 0 Fri 10 12 00 57 58 2018
359 0 0 Fri 10 12 00 58 58 2018
363 0 0 Fri 10 12 00 59 58 2018
392 0 0 Fri 10 12 01 00 58 2018
383 0 0 Fri 10 12 01 01 58 2018
369 0 0 Fri 10 12 01 02 58 2018
349 0 0 Fri 10 12 01 03 58 2018
362 0 0 Fri 10 12 01 04 58 2018
343 0 0 Fri 10 12 01 05 58 2018
369 0 0 Fri 10 12 01 06 58 2018
357 0 0 Fri 10 12 01 07 58 2018
371 0 0 Fri 10 12 01 08 58 2018
402 0 0 Fri 10 12 01 09 58 2018
368 0 0 Fri 10 12 01 10 58 2018
344 0 0 Fri 10 12 01 11 58 2018
346 0 0 Fri 10 12 01 12 58 2018
374 0 0 Fri 10 12 01 13 58 2018
353 0 0 Fri 10 12 01 14 58 2018
372 0 0 Fri 10 12 01 15 58 2018
368 0 0 Fri 10 12 01 16 58 2018
361 0 0 Fri 10 12 01 17 58 2018
354 0 0 Fri 10 12 01 18 58 2018
374 0 0 Fri 10 12 01 19 58 2018
361 0 0 Fri 10 12 01 20 58 2018
367 0 0 Fri 10 12 01 21 58 2018
407 0 0 Fri 10 12 01 22 58 2018
369 0 0 Fri 10 12 01 23 58 2018
327 0 0 Fri 10 12 01 24 58 2018
358 0 0 Fri 10 12 01 25 58 2018
340 0 0 Fri 10 12 01 26 58 2018
356 0 0 Fri 10 12 01 27 58 2018
377 0 0 Fri 10 12 01 28 58 2018
330 0 0 Fri 10 12 01 29 58 2018
371 0 0 Fri 10 12 01 30 58 2018
